term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0006814,"sodium ion transport",0.305%, 2.736, 5.719,4.592,-1.3778,0.849,0.000,6814,0
GO:0015992,"proton transport",1.148%,null,null,5.168,-0.3963,0.755,0.766,6814,1
GO:0007155,"cell adhesion",0.544%, 5.867, 1.299,4.844,-1.0311,0.921,0.000,7155,0
GO:0033627,"cell adhesion mediated by integrin",0.013%,null,null,3.231,-0.9201,0.926,0.732,7155,1
GO:0007160,"cell-matrix adhesion",0.051%,null,null,3.817,-0.5220,0.924,0.809,7155,1
GO:0007186,"G-protein coupled receptor signaling pathway",0.882%,-6.618, 0.002,5.054,-30.0000,0.710,0.000,7186,0
GO:0032502,"developmental process",2.812%, 0.907, 3.831,5.557,-0.6449,0.969,0.000,32502,0
GO:0008218,"bioluminescence",0.010%,-0.516, 4.001,3.112,-7.2218,0.933,0.023,8218,0
GO:0019079,"viral genome replication",0.028%,-2.035, 6.461,3.558,-0.6461,0.922,0.025,19079,0
GO:0015074,"DNA integration",0.682%,-0.213,-2.874,4.942,-1.3242,0.855,0.042,15074,0
GO:0006556,"S-adenosylmethionine biosynthetic process",0.050%, 6.677,-2.485,3.810,-0.4963,0.870,0.047,6556,0
GO:0006509,"membrane protein ectodomain proteolysis",0.013%,-2.660,-2.590,3.219,-0.4963,0.911,0.081,6509,0
GO:0006644,"phospholipid metabolic process",1.209%,-1.655,-6.536,5.191,-1.1586,0.735,0.089,6644,0
GO:0008654,"phospholipid biosynthetic process",0.889%,null,null,5.057,-0.3634,0.722,0.769,6644,1
GO:0008053,"mitochondrial fusion",0.017%, 3.920,-2.033,3.338,-0.8072,0.819,0.143,8053,0
GO:0006562,"proline catabolic process",0.033%, 1.861,-6.615,3.626,-1.1349,0.760,0.150,6562,0
GO:0019538,"protein metabolic process",18.489%, 1.401, 0.614,6.375,-0.3279,0.906,0.168,19538,0
GO:0016051,"carbohydrate biosynthetic process",1.079%, 2.553,-6.633,5.141,-0.4885,0.822,0.176,16051,0
