term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0006886,"intracellular protein transport",1.199%,-5.794, 2.453,5.187,-5.9208,0.867,0.000,6886,0
GO:0055085,"transmembrane transport",8.916%,null,null,6.058,-3.4685,0.849,0.418,6886,1
GO:0006810,"transport",17.616%,null,null,6.354,-1.6229,0.846,0.684,6886,1
GO:0007156,"homophilic cell adhesion via plasma membrane adhesion molecules",0.095%,-5.503,-3.380,4.087,-1.5561,0.954,0.000,7156,0
GO:0008152,"metabolic process",75.387%,-3.363,-4.340,6.986,-2.8761,0.989,0.000,8152,0
GO:0035556,"intracellular signal transduction",4.000%, 6.055, 4.022,5.710,-6.3768,0.704,0.000,35556,0
GO:0007264,"small GTPase mediated signal transduction",0.485%,null,null,4.794,-1.5070,0.743,0.593,35556,1
GO:0006298,"mismatch repair",0.165%,null,null,4.326,-2.0101,0.711,0.717,35556,1
GO:0006260,"DNA replication",1.577%,null,null,5.306,-1.8576,0.720,0.684,35556,1
GO:0035023,"regulation of Rho protein signal transduction",0.125%,null,null,4.206,-3.4559,0.765,0.512,35556,1
GO:0007224,"smoothened signaling pathway",0.038%,null,null,3.683,-1.8091,0.784,0.457,35556,1
GO:0006281,"DNA repair",2.234%,null,null,5.457,-4.0362,0.648,0.605,35556,1
GO:0006338,"chromatin remodeling",0.137%, 0.413,-6.657,4.244,-2.0114,0.830,0.033,6338,0
GO:0030036,"actin cytoskeleton organization",0.381%,null,null,4.690,-1.8139,0.731,0.400,6338,1
GO:0060271,"cilium assembly",0.104%,null,null,4.124,-1.6763,0.741,0.677,6338,1
GO:0016226,"iron-sulfur cluster assembly",0.219%,null,null,4.450,-1.4070,0.748,0.417,6338,1
GO:0006511,"ubiquitin-dependent protein catabolic process",0.584%, 5.797,-4.647,4.874,-5.1367,0.788,0.039,6511,0
GO:0016579,"protein deubiquitination",0.195%,null,null,4.398,-4.8539,0.815,0.491,6511,1
GO:0006464,"cellular protein modification process",7.726%,null,null,5.996,-2.1945,0.770,0.537,6511,1
GO:0006099,"tricarboxylic acid cycle",0.469%,null,null,4.780,-1.6761,0.757,0.731,6511,1
GO:0006096,"glycolytic process",0.545%,null,null,4.844,-1.8091,0.628,0.567,6511,1
GO:0006457,"protein folding",0.903%,-2.049,-6.216,5.064,-1.7036,0.906,0.041,6457,0
GO:0005975,"carbohydrate metabolic process",5.260%, 3.066,-6.327,5.829,-1.6183,0.882,0.071,5975,0
GO:0007018,"microtubule-based movement",0.287%,-2.244, 6.038,4.567,-6.0915,0.803,0.090,7018,0
GO:0007020,"microtubule nucleation",0.044%,null,null,3.754,-1.4067,0.718,0.735,7018,1
GO:0006397,"mRNA processing",0.561%, 6.728,-1.435,4.857,-3.1024,0.745,0.136,6397,0
GO:0006364,"rRNA processing",0.952%,null,null,5.087,-2.2027,0.648,0.677,6397,1
GO:0046854,"phosphatidylinositol phosphorylation",0.173%,-0.197, 6.783,4.347,-1.8091,0.768,0.153,46854,0
GO:0046856,"phosphatidylinositol dephosphorylation",0.048%,null,null,3.794,-1.4067,0.782,0.810,46854,1
GO:0006629,"lipid metabolic process",3.522%, 3.657, 7.021,5.655,-1.4571,0.805,0.162,6629,0
GO:0009072,"aromatic amino acid family metabolic process",0.719%, 2.703, 3.819,4.965,-1.4077,0.710,0.190,9072,0
GO:0070588,"calcium ion transmembrane transport",0.157%,-5.713, 0.712,4.305,-1.3594,0.882,0.263,70588,0
GO:0006887,"exocytosis",0.210%,-3.767, 3.228,4.430,-2.4168,0.747,0.270,6887,0
GO:0006904,"vesicle docking involved in exocytosis",0.060%,null,null,3.890,-1.8091,0.764,0.713,6887,1
GO:0006139,"nucleobase-containing compound metabolic process",26.547%, 6.595, 0.305,6.532,-1.6162,0.738,0.273,6139,0
GO:0006207,"'de novo' pyrimidine nucleobase biosynthetic process",0.192%, 3.495, 2.769,4.392,-1.4067,0.713,0.286,6207,0
GO:0043087,"regulation of GTPase activity",0.510%, 1.115,-1.422,4.816,-2.0110,0.875,0.297,43087,0
GO:0055114,"oxidation-reduction process",15.060%, 2.597, 6.811,6.286,-4.2757,0.827,0.300,55114,0
GO:0016192,"vesicle-mediated transport",1.085%,-5.751, 1.697,5.144,-4.5686,0.868,0.320,16192,0
GO:0045454,"cell redox homeostasis",0.861%, 0.662, 2.688,5.043,-1.9767,0.750,0.340,45454,0
GO:0006357,"regulation of transcription from RNA polymerase II promoter",1.273%, 4.928, 0.208,5.213,-4.0315,0.664,0.357,6357,0
GO:0006355,"regulation of transcription, DNA-templated",9.917%,null,null,6.105,-8.4318,0.592,0.622,6357,1
GO:0006351,"transcription, DNA-templated",10.659%,null,null,6.136,-3.0410,0.661,0.876,6357,1
GO:0006396,"RNA processing",3.210%, 6.373,-0.896,5.615,-2.5229,0.720,0.395,6396,0
