GO.ID,Term,Annotated,Significant,Expected,Rank in classicFisher,classicFisher,elimFisher,topgoFisher,parentchildFisher
GO:0006857,oligopeptide transport,7,3,0.05,1,1.5e-05,1.5e-05,1.5e-05,0.4167
GO:0007264,small GTPase mediated signal transductio...,137,6,1.05,4,0.00060,0.00060,0.00060,0.0069
GO:0001822,kidney development,6,2,0.05,5,0.00085,0.00085,0.00085,0.0117
GO:0006468,protein phosphorylation,497,11,3.82,8,0.00121,0.00360,0.00196,0.0078
GO:0007219,Notch signaling pathway,14,2,0.11,11,0.00498,0.00498,0.00498,0.0052
GO:0033151,V(D)J recombination,1,1,0.01,12,0.00768,0.00768,0.00768,1.0000
GO:0045737,positive regulation of cyclin-dependent ...,1,1,0.01,13,0.00768,0.00768,0.00768,0.0250
GO:0008152,metabolic process,4017,31,30.87,153,0.53969,0.90684,0.01271,0.5397
GO:0016255,attachment of GPI anchor to protein,5,1,0.04,34,0.03784,0.03784,0.03784,0.0674
GO:0006811,ion transport,537,8,4.13,39,0.05147,0.05147,0.05147,0.1481
GO:0006355,regulation of transcription, DNA-templat...,492,7,3.78,44,0.08134,0.08134,0.08134,0.2532
GO:0006629,lipid metabolic process,201,3,1.54,88,0.20033,0.20033,0.08204,0.1536
GO:0006289,nucleotide-excision repair,13,1,0.1,51,0.09549,0.09549,0.09549,0.1048
GO:0050793,regulation of developmental process,17,1,0.13,65,0.12302,0.12302,0.12302,0.1774
GO:0006030,chitin metabolic process,18,1,0.14,67,0.12978,0.12978,0.12978,0.8182
GO:0006810,transport,1202,13,9.24,64,0.12201,0.37126,0.18023,0.9370
GO:0030154,cell differentiation,26,1,0.2,86,0.18200,0.18200,0.18200,0.6190
GO:0007154,cell communication,1959,20,15.05,50,0.09309,0.58357,0.18333,0.0178
GO:0007346,regulation of mitotic cell cycle,31,1,0.24,93,0.21306,0.21306,0.21306,0.6161
GO:0007186,G-protein coupled receptor signaling pat...,1243,10,9.55,147,0.49144,0.49144,0.49144,0.9043
GO:0007165,signal transduction,1930,19,14.83,68,0.13462,0.68584,0.58089,0.7445
GO:0006520,cellular amino acid metabolic process,130,1,1,163,0.63633,0.63633,0.63633,0.6464
GO:0055085,transmembrane transport,578,3,4.44,180,0.83194,0.83194,0.83194,0.8903
GO:0005975,carbohydrate metabolic process,260,1,2,181,0.87010,0.87010,0.87010,0.8775
GO:0006508,proteolysis,480,1,3.69,186,0.97820,0.97820,0.97820,0.9899
GO:0000079,regulation of cyclin-dependent protein s...,4,1,0.03,30,0.03039,1.00000,1.00000,0.1111
GO:0000278,mitotic cell cycle,59,1,0.45,130,0.36674,0.36674,1.00000,0.6119
GO:0001655,urogenital system development,6,2,0.05,6,0.00085,1.00000,1.00000,0.0426
GO:0001932,regulation of protein phosphorylation,43,1,0.33,118,0.28296,1.00000,1.00000,0.6220
GO:0001934,positive regulation of protein phosphory...,34,1,0.26,97,0.23114,1.00000,1.00000,0.5406
GO:0002200,somatic diversification of immune recept...,1,1,0.01,14,0.00768,1.00000,1.00000,0.0143
GO:0002376,immune system process,70,1,0.54,137,0.41868,1.00000,1.00000,0.4187
GO:0002520,immune system development,2,1,0.02,24,0.01531,1.00000,1.00000,0.0526
GO:0002562,somatic diversification of immune recept...,1,1,0.01,15,0.00768,1.00000,1.00000,1.0000
GO:0006022,aminoglycan metabolic process,20,1,0.15,74,0.14313,0.14313,1.00000,0.1439
GO:0006040,amino sugar metabolic process,20,1,0.15,75,0.14313,0.14313,1.00000,0.1581
GO:0006082,organic acid metabolic process,189,1,1.45,175,0.77155,0.77155,1.00000,0.7192
GO:0006139,nucleobase-containing compound metabolic...,1208,9,9.28,157,0.59597,0.71162,1.00000,0.6019
GO:0006259,DNA metabolic process,250,2,1.92,156,0.57755,0.85333,1.00000,0.7058
GO:0006281,DNA repair,124,1,0.95,160,0.61880,0.61880,1.00000,0.5771
GO:0006310,DNA recombination,62,1,0.48,133,0.38135,1.00000,1.00000,0.4352
