	Pdam	Spis	Adig	Ofav*	Disc	Afen	Aipt	Nema	Hydr	Mlei	Aque
Genome size (Mb)	348 	434	420		428	350	260	329	1300		190
Assembly size (Mb)	234	400	419	486	445	370	258	356	852	156	167
Total contig size (Mb)	226	358	365	356	364	306	213	297	785	150	145
Contig / Assemly (\%)	96.3	89.5	87	73.3	81.9	82.6	82.5	83.4	92.2	96.5	86.8
Contig N50 (kb)	25.9	14.9	10.9	7.4	18.7	20.1	14.9	19.8	9.7	11.9	11.2
Scaffold N50 (kb)	326	457	191	1162	770	510	440	472	92.5	187	120
No. gene models	26077	25769à	23668	37660	23199	21372	29269	27273	31452	16554	29867
No. complete gene models	21389	25563à	16434	29679	16082à	15552à	26658	13343			
BUSCO completeness (\%)	88.4	72.2	34.3	71							
Mean exon length (bp)	245	262à	230	240	226	218	354	208		314	
Mean intron length (bp)	667	917à	952	1146	1119	1047	638	800		898	80
Protein length (mean aa)	455	615à	424	413	450à	475à	517	331		154?	280(med)
