GO.ID,Term,Annotated,Significant,Expected,Rank in classicFisher,classicFisher,elimFisher,topgoFisher,parentchildFisher
GO:0007186,G-protein coupled receptor signaling pat...,1243,407,149.36,1,<1e-30,<1e-30,<1e-30,1.6e-30
GO:0008218,bioluminescence,27,15,3.24,13,6e-08,6e-08,6e-08,3.2e-12
GO:0007250,activation of NF-kappaB-inducing kinase ...,29,10,3.48,15,0.0014,0.0014,0.0014,0.109
GO:0046330,positive regulation of JNK cascade,29,10,3.48,16,0.0014,0.0014,0.0014,0.667
GO:0007165,signal transduction,1930,478,231.92,2,<1e-30,0.0827,0.0018,< 1e-30
GO:0035278,miRNA mediated inhibition of translation,14,5,1.68,52,0.0196,0.0196,0.0196,0.667
GO:0007411,axon guidance,6,3,0.72,58,0.0261,0.0261,0.0261,0.571
GO:0035385,Roundabout signaling pathway,6,3,0.72,59,0.0261,0.0261,0.0261,0.049
GO:0006814,sodium ion transport,52,11,6.25,73,0.0419,0.0419,0.0419,0.004
GO:0050482,arachidonic acid secretion,17,5,2.04,76,0.0446,0.0446,0.0446,1.000
GO:0015074,DNA integration,53,11,6.37,86,0.0474,0.0474,0.0474,2.9e-05
