GO.ID,Term,Annotated,Significant,Expected,Rank in classicFisher,classicFisher,elimFisher,topgoFisher,parentchildFisher
GO:0007186,G-protein coupled receptor signaling pat...,1243,407,149.36,1,< 1e-30,<1e-30,<1e-30,1.6e-30
GO:0008218,bioluminescence,27,15,3.24,13,6.0e-08,6e-08,6e-08,3.2e-12
GO:0007250,activation of NF-kappaB-inducing kinase ...,29,10,3.48,15,0.0014,0.0014,0.0014,0.10911
GO:0046330,positive regulation of JNK cascade,29,10,3.48,16,0.0014,0.0014,0.0014,0.66667
GO:0007165,signal transduction,1930,478,231.92,2,< 1e-30,0.0827,0.0018,< 1e-30
GO:0035278,miRNA mediated inhibition of translation,14,5,1.68,52,0.0196,0.0196,0.0196,0.66667
GO:0007411,axon guidance,6,3,0.72,58,0.0261,0.0261,0.0261,0.57143
GO:0035385,Roundabout signaling pathway,6,3,0.72,59,0.0261,0.0261,0.0261,0.04876
GO:0006814,sodium ion transport,52,11,6.25,73,0.0419,0.0419,0.0419,0.00399
GO:0050482,arachidonic acid secretion,17,5,2.04,76,0.0446,0.0446,0.0446,1.00000
GO:0015074,DNA integration,53,11,6.37,86,0.0474,0.0474,0.0474,2.9e-05
GO:0000077,DNA damage checkpoint,24,6,2.88,90,0.0597,0.0597,0.0597,0.00050
GO:0050912,detection of chemical stimulus involved ...,8,3,0.96,91,0.0609,0.0609,0.0609,1.00000
GO:0006644,phospholipid metabolic process,75,9,9.01,306,0.5552,0.5552,0.0694,0.32848
GO:0006562,proline catabolic process,4,2,0.48,104,0.0733,0.0733,0.0733,0.00339
GO:0007507,heart development,4,2,0.48,105,0.0733,0.0733,0.0733,0.04786
GO:0007155,cell adhesion,84,13,10.09,141,0.2041,0.2041,0.0931,1.00000
GO:0007166,cell surface receptor signaling pathway,187,29,22.47,111,0.0881,0.0881,0.1168,0.99954
GO:0001539,cilium or flagellum-dependent cell motil...,1,1,0.12,116,0.1202,0.1202,0.1202,0.07143
GO:0009401,phosphoenolpyruvate-dependent sugar phos...,1,1,0.12,117,0.1202,0.1202,0.1202,0.12500
GO:0015969,guanosine tetraphosphate metabolic proce...,1,1,0.12,118,0.1202,0.1202,0.1202,0.04545
GO:0033627,cell adhesion mediated by integrin,1,1,0.12,119,0.1202,0.1202,0.1202,0.15476
GO:0006836,neurotransmitter transport,35,6,4.21,170,0.2386,0.2386,0.1340,0.09388
GO:0008053,mitochondrial fusion,6,2,0.72,127,0.1559,0.1559,0.1559,0.00658
GO:0008272,sulfate transport,6,2,0.72,128,0.1559,0.1559,0.1559,0.09804
GO:0009307,DNA restriction-modification system,2,1,0.24,145,0.2259,0.2259,0.2259,0.66667
GO:0018996,molting cycle collagen and cuticulin-ba...,2,1,0.24,146,0.2259,0.2259,0.2259,1.00000
GO:0019079,viral genome replication,2,1,0.24,147,0.2259,0.2259,0.2259,1.00000
GO:0030328,prenylcysteine catabolic process,2,1,0.24,148,0.2259,0.2259,0.2259,0.36842
GO:0043123,positive regulation of I-kappaB kinase/N...,2,1,0.24,149,0.2259,0.2259,0.2259,0.50071
GO:0043154,negative regulation of cysteine-type end...,2,1,0.24,150,0.2259,0.2259,0.2259,0.23715
GO:1990504,dense core granule exocytosis,2,1,0.24,151,0.2259,0.2259,0.2259,0.50000
GO:0032502,developmental process,124,13,14.9,365,0.7419,0.7419,0.2265,0.74185
GO:0009086,methionine biosynthetic process,8,2,0.96,173,0.2485,0.2485,0.2485,0.23333
GO:0035434,copper ion transmembrane transport,8,2,0.96,174,0.2485,0.2485,0.2485,0.15997
GO:0050767,regulation of neurogenesis,8,2,0.96,175,0.2485,0.2485,0.2485,0.85897
GO:0006751,glutathione catabolic process,15,3,1.8,181,0.2660,0.2660,0.2660,0.46759
GO:0007160,cell-matrix adhesion,16,3,1.92,194,0.3006,0.3006,0.3006,0.82353
GO:0042981,regulation of apoptotic process,98,14,11.78,185,0.2856,0.2856,0.3092,0.20967
GO:0007399,nervous system development,18,6,2.16,51,0.0153,0.0153,0.3180,0.00228
GO:0006313,transposition DNA-mediated,3,1,0.36,198,0.3189,0.3189,0.3189,0.22898
GO:0006509,membrane protein ectodomain proteolysis,3,1,0.36,199,0.3189,0.3189,0.3189,0.75000
GO:0006556,S-adenosylmethionine biosynthetic proces...,3,1,0.36,200,0.3189,0.3189,0.3189,0.17813
GO:0006659,phosphatidylserine biosynthetic process,3,1,0.36,201,0.3189,0.3189,0.3189,0.11464
GO:0008277,regulation of G-protein coupled receptor...,3,1,0.36,202,0.3189,0.3189,0.3189,0.67061
GO:0016079,synaptic vesicle exocytosis,3,1,0.36,203,0.3189,0.3189,0.3189,0.21429
GO:0070836,caveola assembly,3,1,0.36,204,0.3189,0.3189,0.3189,1.00000
GO:0016051,carbohydrate biosynthetic process,24,4,2.88,217,0.3247,0.3247,0.3247,0.00435
GO:0009308,amine metabolic process,17,3,2.04,218,0.3353,0.3353,0.3353,0.05067
GO:0016042,lipid catabolic process,31,4,3.73,294,0.5210,0.5210,0.3703,0.03589
GO:0006541,glutamine metabolic process,11,2,1.32,224,0.3880,0.3880,0.3880,0.57391
GO:0046931,pore complex assembly,4,1,0.48,228,0.4008,0.4008,0.4008,0.16827
GO:0052331,hemolysis in other organism involved in ...,4,1,0.48,229,0.4008,0.4008,0.4008,0.93333
GO:0015992,proton transport,29,2,3.48,429,0.8794,0.8794,0.4015,0.77624
GO:0006468,protein phosphorylation,497,66,59.72,140,0.2033,0.5129,0.4204,5.5e-08
GO:0008654,phospholipid biosynthetic process,32,3,3.85,370,0.7575,0.7575,0.4331,0.07768
GO:0033554,cellular response to stress,194,21,23.31,361,0.7299,0.9914,0.4340,1.00000
GO:0070588,calcium ion transmembrane transport,37,5,4.45,262,0.4632,0.4632,0.4632,0.26584
GO:0019538,protein metabolic process,1514,130,181.93,627,1.0000,1.0000,0.4700,7.5e-08
GO:0002218,activation of innate immune response,5,1,0.6,269,0.4729,0.4729,0.4729,0.83333
GO:0006885,regulation of pH,5,1,0.6,270,0.4729,0.4729,0.4729,1.00000
GO:0016180,snRNA processing,5,1,0.6,271,0.4729,0.4729,0.4729,0.07353
GO:0032481,positive regulation of type I interferon...,5,1,0.6,272,0.4729,0.4729,0.4729,1.00000
GO:0007015,actin filament organization,26,2,3.12,402,0.8373,0.8373,0.4735,0.30778
GO:0007275,multicellular organism development,92,12,11.06,253,0.4275,0.4275,0.5028,0.09976
GO:0007154,cell communication,1959,480,235.4,5,< 1e-30,0.0928,0.5115,< 1e-30
GO:0007219,Notch signaling pathway,14,2,1.68,291,0.5151,0.5151,0.5151,0.67323
GO:0006816,calcium ion transport,43,6,5.17,251,0.4151,0.4151,0.5360,0.74848
GO:0009395,phospholipid catabolic process,6,1,0.72,295,0.5362,0.5362,0.5362,0.46673
GO:0006310,DNA recombination,62,8,7.45,268,0.4724,0.4724,0.5737,0.02194
GO:0007264,small GTPase mediated signal transductio...,137,13,16.46,416,0.8545,0.8545,0.5838,0.26502
GO:0006478,peptidyl-tyrosine sulfation,16,2,1.92,315,0.5895,0.5895,0.5895,1.00000
GO:0006857,oligopeptide transport,7,1,0.84,321,0.5920,0.5920,0.5920,0.77778
GO:0008285,negative regulation of cell proliferatio...,7,1,0.84,322,0.5920,0.5920,0.5920,0.50195
GO:0051607,defense response to virus,26,3,3.12,329,0.6200,0.6200,0.6200,0.52419
GO:0006730,one-carbon metabolic process,17,2,2.04,334,0.6234,0.6234,0.6234,0.66982
GO:0043547,positive regulation of GTPase activity,8,1,0.96,336,0.6411,0.6411,0.6411,0.44444
GO:0006869,lipid transport,46,8,5.53,134,0.1811,0.1811,0.6688,0.03668
GO:0006979,response to oxidative stress,28,3,3.36,343,0.6710,0.6710,0.6710,0.57577
GO:0006284,base-excision repair,9,1,1.08,346,0.6843,0.6843,0.6843,0.20385
GO:0016055,Wnt signaling pathway,48,5,5.77,355,0.6998,0.6998,0.6998,0.91786
GO:0000723,telomere maintenance,10,1,1.2,357,0.7222,0.7222,0.7222,0.55286
GO:0007346,regulation of mitotic cell cycle,31,3,3.73,362,0.7377,0.7377,0.7377,0.05076
GO:0034314,Arp2/3 complex-mediated actin nucleation,12,1,1.44,372,0.7851,0.7851,0.7851,0.85714
GO:0045892,negative regulation of transcription DN...,24,2,2.88,381,0.8024,0.8024,0.8024,0.13754
