Group	Genes	Taxa	IDs
ORTHOMCL502	31	1	pdam_00015693-RA(PocilloporaDamicornis) pdam_00017040-RA(PocilloporaDamicornis) pdam_00008766-RA(PocilloporaDamicornis) pdam_00006655-RA(PocilloporaDamicornis) pdam_00019850-RA(PocilloporaDamicornis) pdam_00013947-RA(PocilloporaDamicornis) pdam_00005455-RA(PocilloporaDamicornis) pdam_00015954-RA(PocilloporaDamicornis) pdam_00005207-RA(PocilloporaDamicornis) pdam_00016566-RA(PocilloporaDamicornis) pdam_00005340-RA(PocilloporaDamicornis) pdam_00023826-RA(PocilloporaDamicornis) pdam_00021638-RA(PocilloporaDamicornis) pdam_00023830-RA(PocilloporaDamicornis) pdam_00011948-RA(PocilloporaDamicornis) pdam_00012630-RA(PocilloporaDamicornis) pdam_00022069-RA(PocilloporaDamicornis) pdam_00008649-RA(PocilloporaDamicornis) pdam_00013791-RA(PocilloporaDamicornis) pdam_00021665-RA(PocilloporaDamicornis) pdam_00020597-RA(PocilloporaDamicornis) pdam_00000356-RA(PocilloporaDamicornis) pdam_00000669-RA(PocilloporaDamicornis) pdam_00011043-RA(PocilloporaDamicornis) pdam_00002198-RA(PocilloporaDamicornis) pdam_00000272-RA(PocilloporaDamicornis) pdam_00007529-RA(PocilloporaDamicornis) pdam_00002213-RA(PocilloporaDamicornis) pdam_00005448-RA(PocilloporaDamicornis) pdam_00002099-RA(PocilloporaDamicornis) pdam_00000354-RA(PocilloporaDamicornis)
ORTHOMCL571	29	1	pdam_00022145-RA(PocilloporaDamicornis) pdam_00020258-RA(PocilloporaDamicornis) pdam_00023184-RA(PocilloporaDamicornis) pdam_00014704-RA(PocilloporaDamicornis) pdam_00019251-RA(PocilloporaDamicornis) pdam_00015602-RA(PocilloporaDamicornis) pdam_00023106-RA(PocilloporaDamicornis) pdam_00010547-RA(PocilloporaDamicornis) pdam_00005280-RA(PocilloporaDamicornis) pdam_00010364-RA(PocilloporaDamicornis) pdam_00020446-RA(PocilloporaDamicornis) pdam_00025054-RA(PocilloporaDamicornis) pdam_00003597-RA(PocilloporaDamicornis) pdam_00023936-RA(PocilloporaDamicornis) pdam_00016447-RA(PocilloporaDamicornis) pdam_00001173-RA(PocilloporaDamicornis) pdam_00013424-RA(PocilloporaDamicornis) pdam_00020777-RA(PocilloporaDamicornis) pdam_00021538-RA(PocilloporaDamicornis) pdam_00011022-RA(PocilloporaDamicornis) pdam_00005521-RA(PocilloporaDamicornis) pdam_00010385-RA(PocilloporaDamicornis) pdam_00015817-RA(PocilloporaDamicornis) pdam_00002509-RA(PocilloporaDamicornis) pdam_00012951-RA(PocilloporaDamicornis) pdam_00021539-RA(PocilloporaDamicornis) pdam_00015568-RA(PocilloporaDamicornis) pdam_00006341-RA(PocilloporaDamicornis) pdam_00020013-RA(PocilloporaDamicornis)
ORTHOMCL893	24	1	pdam_00025164-RA(PocilloporaDamicornis) pdam_00021854-RA(PocilloporaDamicornis) pdam_00019202-RA(PocilloporaDamicornis) pdam_00022567-RA(PocilloporaDamicornis) pdam_00014376-RA(PocilloporaDamicornis) pdam_00008475-RA(PocilloporaDamicornis) pdam_00008469-RA(PocilloporaDamicornis) pdam_00020513-RA(PocilloporaDamicornis) pdam_00021273-RA(PocilloporaDamicornis) pdam_00008478-RA(PocilloporaDamicornis) pdam_00022569-RA(PocilloporaDamicornis) pdam_00025956-RA(PocilloporaDamicornis) pdam_00024660-RA(PocilloporaDamicornis) pdam_00017418-RA(PocilloporaDamicornis) pdam_00025023-RA(PocilloporaDamicornis) pdam_00008481-RA(PocilloporaDamicornis) pdam_00008477-RA(PocilloporaDamicornis) pdam_00022568-RA(PocilloporaDamicornis) pdam_00025073-RA(PocilloporaDamicornis) pdam_00006219-RA(PocilloporaDamicornis) pdam_00020156-RA(PocilloporaDamicornis) pdam_00025292-RA(PocilloporaDamicornis) pdam_00017421-RA(PocilloporaDamicornis) pdam_00017415-RA(PocilloporaDamicornis)
ORTHOMCL988	23	1	pdam_00012280-RA(PocilloporaDamicornis) pdam_00021890-RA(PocilloporaDamicornis) pdam_00021162-RA(PocilloporaDamicornis) pdam_00002806-RA(PocilloporaDamicornis) pdam_00018089-RA(PocilloporaDamicornis) pdam_00021165-RA(PocilloporaDamicornis) pdam_00019938-RA(PocilloporaDamicornis) pdam_00015628-RA(PocilloporaDamicornis) pdam_00025631-RA(PocilloporaDamicornis) pdam_00015623-RA(PocilloporaDamicornis) pdam_00021166-RA(PocilloporaDamicornis) pdam_00020507-RA(PocilloporaDamicornis) pdam_00008206-RA(PocilloporaDamicornis) pdam_00019939-RA(PocilloporaDamicornis) pdam_00020508-RA(PocilloporaDamicornis) pdam_00012281-RA(PocilloporaDamicornis) pdam_00021994-RA(PocilloporaDamicornis) pdam_00023855-RA(PocilloporaDamicornis) pdam_00018519-RA(PocilloporaDamicornis) pdam_00018072-RA(PocilloporaDamicornis) pdam_00020511-RA(PocilloporaDamicornis) pdam_00014208-RA(PocilloporaDamicornis) pdam_00015630-RA(PocilloporaDamicornis)
ORTHOMCL1116	22	1	pdam_00025847-RA(PocilloporaDamicornis) pdam_00001413-RA(PocilloporaDamicornis) pdam_00016821-RA(PocilloporaDamicornis) pdam_00017168-RA(PocilloporaDamicornis) pdam_00000086-RA(PocilloporaDamicornis) pdam_00025736-RA(PocilloporaDamicornis) pdam_00013553-RA(PocilloporaDamicornis) pdam_00025855-RA(PocilloporaDamicornis) pdam_00020419-RA(PocilloporaDamicornis) pdam_00016236-RA(PocilloporaDamicornis) pdam_00003310-RA(PocilloporaDamicornis) pdam_00020615-RA(PocilloporaDamicornis) pdam_00025487-RA(PocilloporaDamicornis) pdam_00003149-RA(PocilloporaDamicornis) pdam_00002634-RA(PocilloporaDamicornis) pdam_00019797-RA(PocilloporaDamicornis) pdam_00022566-RA(PocilloporaDamicornis) pdam_00024509-RA(PocilloporaDamicornis) pdam_00025934-RA(PocilloporaDamicornis) pdam_00017327-RA(PocilloporaDamicornis) pdam_00016670-RA(PocilloporaDamicornis) pdam_00020099-RA(PocilloporaDamicornis)
ORTHOMCL1263	21	1	pdam_00016933-RA(PocilloporaDamicornis) pdam_00023015-RA(PocilloporaDamicornis) pdam_00003897-RA(PocilloporaDamicornis) pdam_00025275-RA(PocilloporaDamicornis) pdam_00016339-RA(PocilloporaDamicornis) pdam_00021997-RA(PocilloporaDamicornis) pdam_00012299-RA(PocilloporaDamicornis) pdam_00016338-RA(PocilloporaDamicornis) pdam_00012288-RA(PocilloporaDamicornis) pdam_00016340-RA(PocilloporaDamicornis) pdam_00002802-RA(PocilloporaDamicornis) pdam_00002803-RA(PocilloporaDamicornis) pdam_00003898-RA(PocilloporaDamicornis) pdam_00016341-RA(PocilloporaDamicornis) pdam_00002804-RA(PocilloporaDamicornis) pdam_00016934-RA(PocilloporaDamicornis) pdam_00018085-RA(PocilloporaDamicornis) pdam_00016932-RA(PocilloporaDamicornis) pdam_00024869-RA(PocilloporaDamicornis) pdam_00012297-RA(PocilloporaDamicornis) pdam_00018092-RA(PocilloporaDamicornis)
ORTHOMCL2920	15	1	pdam_00007089-RA(PocilloporaDamicornis) pdam_00007085-RA(PocilloporaDamicornis) pdam_00000547-RA(PocilloporaDamicornis) pdam_00000502-RA(PocilloporaDamicornis) pdam_00000497-RA(PocilloporaDamicornis) pdam_00007082-RA(PocilloporaDamicornis) pdam_00007083-RA(PocilloporaDamicornis) pdam_00000490-RA(PocilloporaDamicornis) pdam_00007081-RA(PocilloporaDamicornis) pdam_00009350-RA(PocilloporaDamicornis) pdam_00000501-RA(PocilloporaDamicornis) pdam_00007084-RA(PocilloporaDamicornis) pdam_00000491-RA(PocilloporaDamicornis) pdam_00000543-RA(PocilloporaDamicornis) pdam_00020760-RA(PocilloporaDamicornis)
ORTHOMCL3357	14	1	pdam_00025282-RA(PocilloporaDamicornis) pdam_00021154-RA(PocilloporaDamicornis) pdam_00021520-RA(PocilloporaDamicornis) pdam_00022610-RA(PocilloporaDamicornis) pdam_00021518-RA(PocilloporaDamicornis) pdam_00023674-RA(PocilloporaDamicornis) pdam_00016395-RA(PocilloporaDamicornis) pdam_00021438-RA(PocilloporaDamicornis) pdam_00022608-RA(PocilloporaDamicornis) pdam_00025861-RA(PocilloporaDamicornis) pdam_00022609-RA(PocilloporaDamicornis) pdam_00025954-RA(PocilloporaDamicornis) pdam_00023673-RA(PocilloporaDamicornis) pdam_00025479-RA(PocilloporaDamicornis)
ORTHOMCL3844	13	1	pdam_00013555-RA(PocilloporaDamicornis) pdam_00016385-RA(PocilloporaDamicornis) pdam_00015626-RA(PocilloporaDamicornis) pdam_00011519-RA(PocilloporaDamicornis) pdam_00023290-RA(PocilloporaDamicornis) pdam_00000125-RA(PocilloporaDamicornis) pdam_00009181-RA(PocilloporaDamicornis) pdam_00015622-RA(PocilloporaDamicornis) pdam_00015625-RA(PocilloporaDamicornis) pdam_00014660-RA(PocilloporaDamicornis) pdam_00011551-RA(PocilloporaDamicornis) pdam_00006453-RA(PocilloporaDamicornis) pdam_00015624-RA(PocilloporaDamicornis)
ORTHOMCL4495	12	1	pdam_00009729-RA(PocilloporaDamicornis) pdam_00009734-RA(PocilloporaDamicornis) pdam_00009742-RA(PocilloporaDamicornis) pdam_00010882-RA(PocilloporaDamicornis) pdam_00002374-RA(PocilloporaDamicornis) pdam_00015238-RA(PocilloporaDamicornis) pdam_00020089-RA(PocilloporaDamicornis) pdam_00019165-RA(PocilloporaDamicornis) pdam_00018717-RA(PocilloporaDamicornis) pdam_00019953-RA(PocilloporaDamicornis) pdam_00007244-RA(PocilloporaDamicornis) pdam_00007767-RA(PocilloporaDamicornis)
