Spis3477	GO:0008094
Spis14997	GO:0006508
Spis12013	GO:0008289
Spis3478	GO:0055085
Spis24641	GO:0005509
Spis14998	GO:0005524, GO:0006468
Spis12014	GO:0005515, GO:0006468
Spis3479	GO:0055085
Spis17482	GO:0005515, GO:0005524, GO:0006468
Spis12017	GO:0005515, GO:0006468
Spis17483	GO:0005515, GO:0005524, GO:0006468
Spis24646	GO:0005515
Spis12019	GO:0005515
Spis24647	GO:0008270
Spis17485	GO:0005524, GO:0006468
Spis24648	GO:0005515
Spis17486	GO:0006468
Spis24649	GO:0005524
Spis17487	GO:0005515, GO:0005524, GO:0006468
Spis1380	GO:0005515, GO:0016020, GO:0016021
Spis17488	GO:0006468
Spis17489	GO:0005515, GO:0005524, GO:0006468
Spis1382	GO:0005515, GO:0016020, GO:0016021
Spis15801	GO:0030422
Spis15802	GO:0006376
Spis15803	GO:0005524, GO:0006468
Spis1385	GO:0016020, GO:0016021
Spis9750	GO:0050290
Spis22550	GO:0005515, GO:0005871
Spis9751	GO:0005515
Spis22551	GO:0005515
Spis1388	GO:0003676, GO:0006508, GO:0015074
Spis9752	GO:0005515
Spis22552	GO:0005515, GO:0005871
Spis15807	GO:0003676, GO:0004518, GO:0008270
Spis1389	GO:0046933
Spis9753	GO:0005515
Spis22553	GO:0005515, GO:0005524, GO:0006468
Spis22554	GO:0005515, GO:0005524, GO:0006468
Spis15809	GO:0004518
Spis15392	GO:0005525, GO:0007275, GO:0008233
Spis22555	GO:0005515, GO:0005524, GO:0006468
Spis15393	GO:0016020
Spis9756	GO:0045892
Spis22556	GO:0003676, GO:0003677
Spis9757	GO:0005509, GO:0006562
Spis15395	GO:0003676, GO:0005515, GO:0016020
Spis22558	GO:0016021
Spis22559	GO:0003676, GO:0004518
Spis15397	GO:0016020
Spis15398	GO:0005515
Spis630	GO:0004842
Spis25042	GO:0005524, GO:0005534, GO:0032259
Spis15399	GO:0016787
Spis13710	GO:0008270
Spis631	GO:0003676
Spis25044	GO:0071949
Spis13712	GO:0046872
Spis633	GO:0003676, GO:0015074
Spis25045	GO:0005515
Spis13714	GO:0046872
Spis7660	GO:0016491
Spis635	GO:0003676
Spis20460	GO:0005515
Spis7661	GO:0005509
Spis25048	GO:0006269, GO:0008270, GO:0016987
Spis20461	GO:0003676, GO:0006351, GO:0015074
Spis13716	GO:0004518, GO:0008270, GO:0046872
Spis7662	GO:0005509, GO:0005515, GO:0006508
Spis637	GO:0016829, GO:0030246
Spis7663	GO:0003676, GO:0006355
Spis7664	GO:0005509, GO:0005515, GO:0005578
Spis16200	GO:0071805
Spis13719	GO:0005488, GO:0005515, GO:0008076, GO:0016020
Spis7665	GO:0005509, GO:0005515
