term_ID,description,frequency,plot_X,plot_Y,plot_size,value,uniqueness,dispensability,representative,eliminated
GO:0007186,"G-protein coupled receptor signaling pathway",0.882%,-6.327,-2.677,5.054,361.0000,0.663,0.000,7186,0
GO:0007264,"small GTPase mediated signal transduction",0.485%,null,null,4.794,84.0000,0.674,0.504,7186,1
GO:0007165,"signal transduction",6.621%,null,null,5.929,296.0000,0.606,0.675,7186,1
GO:0046907,"intracellular transport",1.564%, 3.417,-5.021,5.302,6.0000,0.862,0.000,46907,0
GO:0007010,"cytoskeleton organization",0.786%, 6.609, 1.804,5.004,1.0000,0.855,0.034,7010,0
GO:0030036,"actin cytoskeleton organization",0.381%,null,null,4.690,1.0000,0.784,0.616,7010,1
GO:0006468,"protein phosphorylation",4.137%,-1.704, 6.497,5.725,79.0000,0.706,0.041,6468,0
GO:0006412,"translation",5.686%,null,null,5.863,15.0000,0.684,0.551,6468,1
GO:0016579,"protein deubiquitination",0.195%,null,null,4.398,1.0000,0.767,0.501,6468,1
GO:0006464,"cellular protein modification process",7.726%,null,null,5.996,3.0000,0.703,0.822,6468,1
GO:0001822,"kidney development",0.058%, 3.247, 6.098,3.870,20.0000,0.871,0.067,1822,0
GO:0006629,"lipid metabolic process",3.522%, 3.074, 1.805,5.655,4.0000,0.802,0.101,6629,0
GO:0015074,"DNA integration",0.682%,-4.687, 4.358,4.942,18.0000,0.760,0.172,15074,0
GO:0006974,"cellular response to DNA damage stimulus",2.360%,null,null,5.481,2.0000,0.720,0.904,15074,1
GO:0006281,"DNA repair",2.234%,null,null,5.457,2.0000,0.577,0.619,15074,1
GO:0008610,"lipid biosynthetic process",2.123%, 1.306, 1.760,5.435,1.0000,0.772,0.218,8610,0
GO:0016255,"attachment of GPI anchor to protein",0.027%,null,null,3.545,1.0000,0.694,0.536,8610,1
GO:0009116,"nucleoside metabolic process",2.917%,-2.056, 0.464,5.573,6.0000,0.683,0.229,9116,0
GO:0007049,"cell cycle",1.885%,-1.935,-5.848,5.384,2.0000,0.812,0.249,7049,0
GO:0007346,"regulation of mitotic cell cycle",0.269%,-5.125,-2.370,4.537,21.0000,0.762,0.254,7346,0
GO:0042981,"regulation of apoptotic process",0.313%,-4.201,-4.105,4.604,25.0000,0.760,0.258,42981,0
GO:0006816,"calcium ion transport",0.197%, 2.701,-6.019,4.404,3.0000,0.878,0.275,6816,0
GO:0045454,"cell redox homeostasis",0.861%,-4.216,-3.069,5.043,3.0000,0.742,0.286,45454,0
GO:0048193,"Golgi vesicle transport",0.297%, 4.699,-4.038,4.581,1.0000,0.875,0.287,48193,0
GO:0055114,"oxidation-reduction process",15.060%, 2.054, 0.334,6.286,1.0000,0.818,0.300,55114,0
GO:0016192,"vesicle-mediated transport",1.085%, 4.161,-4.733,5.144,1.0000,0.865,0.330,16192,0
GO:0006355,"regulation of transcription, DNA-templated",9.917%,-4.480, 0.969,6.105,370.0000,0.600,0.385,6355,0
GO:0048478,"replication fork protection",0.011%,-6.059, 1.018,3.157,2.0000,0.728,0.386,48478,0
GO:0006511,"ubiquitin-dependent protein catabolic process",0.584%,-0.214, 6.852,4.874,2.0000,0.748,0.400,6511,0
GO:0009264,"deoxyribonucleotide catabolic process",0.054%,null,null,3.841,1.0000,0.732,0.523,6511,1
GO:0043123,"positive regulation of I-kappaB kinase/NF-kappaB signaling",0.037%,-6.200,-4.081,3.676,1.0000,0.710,0.401,43123,0
GO:0008277,"regulation of G-protein coupled receptor protein signaling pathway",0.024%,null,null,3.494,1.0000,0.720,0.582,43123,1
GO:0007179,"transforming growth factor beta receptor signaling pathway",0.042%,-6.865,-3.164,3.735,3.0000,0.724,0.406,7179,0
GO:0055085,"transmembrane transport",8.916%, 3.647,-5.349,6.058,7.0000,0.846,0.435,55085,0
GO:0006810,"transport",17.616%,null,null,6.354,5.0000,0.844,0.684,55085,1
GO:0006508,"proteolysis",5.223%,-1.090, 6.750,5.826,17.0000,0.785,0.448,6508,0
GO:0006139,"nucleobase-containing compound metabolic process",26.547%,-5.314, 3.576,6.532,5.0000,0.777,0.471,6139,0
GO:0051382,"kinetochore assembly",0.018%, 6.445, 2.456,3.354,1.0000,0.875,0.475,51382,0
GO:0033151,"V(D)J recombination",0.004%,-4.653, 5.100,2.736,4.0000,0.750,0.493,33151,0
GO:0051607,"defense response to virus",0.098%,null,null,4.098,1.0000,0.785,0.598,33151,1
term_ID,description,frequency,plot_X,plot_Y,plot_size,value,uniqueness,dispensability,representative,eliminated
GO:0008152,"metabolic process",75.387%, 5.285, 3.133,6.986,3.0000,0.985,0.000,8152,0
