pdam_00016255-RA      ORTHOMCL3
pdam_00015681-RA      ORTHOMCL18
pdam_00017017-RA      ORTHOMCL22
pdam_00013569-RA      ORTHOMCL23
pdam_00007850-RA      ORTHOMCL29
pdam_00013642-RA      ORTHOMCL32
pdam_00017137-RA      ORTHOMCL34
pdam_00003551-RA      ORTHOMCL36
pdam_00013121-RA      ORTHOMCL53
pdam_00012968-RA      ORTHOMCL54
pdam_00019033-RA      ORTHOMCL72
pdam_00011309-RA      ORTHOMCL118
pdam_00023481-RA      ORTHOMCL121
pdam_00019619-RA      ORTHOMCL125
pdam_00011120-RA      ORTHOMCL143
pdam_00007559-RA      ORTHOMCL148
pdam_00012572-RA      ORTHOMCL151
pdam_00014870-RA      ORTHOMCL160
pdam_00000116-RA      ORTHOMCL163
pdam_00014102-RA      ORTHOMCL171
pdam_00002640-RA      ORTHOMCL273
