ortholog_group Pdam Spis Adig Ofav Ampl Disc Aipt Nema pval rep_gene SwissProt_tophit E-value
ORTHOMCL163 13 13 7 11 6 3 4 2 0.00809143690310384 pdam_00000116 sp|O75581|LRP6_HUMAN 1.43e-101
ORTHOMCL273 11 11 3 10 2 5 2 1 0.00809540713619099 pdam_00002640 sp|Q2EMV9|PAR14_MOUSE 8.01e-97
ORTHOMCL36 16 25 31 24 11 8 7 6 2.84221882699055e-05 pdam_00003551 sp|Q8R151|ZNFX1_MOUSE 0
ORTHOMCL148 15 9 13 13 1 3 5 2 0.000265695010960658 pdam_00007559 sp|P46023|GR101_LYMST 4.15e-106
ORTHOMCL29 10 18 23 17 7 8 11 4 0.00863656672581517 pdam_00007850 sp|A0A0R4I9Y1|R213B_DANRE 0
ORTHOMCL143 12 11 10 11 2 2 7 3 0.0052002591080574 pdam_00011120 sp|B3EWZ3|CADN_ACRMI 1.37e-102
ORTHOMCL118 12 10 27 15 2 2 2 1 2.78433758421587e-06 pdam_00011309 NA NA
ORTHOMCL151 8 12 14 12 4 3 6 2 0.0052002591080574 pdam_00012572 NA NA
ORTHOMCL54 19 29 11 27 2 3 14 10 9.58182609115044e-05 pdam_00012968 sp|Q08431|MFGM_HUMAN 3.76e-50
ORTHOMCL53 16 13 26 19 6 4 6 3 2.29333124465031e-05 pdam_00013121 sp|Q9JLC8|SACS_MOUSE 0
ORTHOMCL23 4 163 1 2 1 4 19 12 7.07417066736137e-13 pdam_00013569 NA NA
ORTHOMCL32 4 70 39 5 10 9 20 3 9.84109934270059e-06 pdam_00013642 sp|Q9P126|CLC1B_HUMAN 2.27e-14
ORTHOMCL171 7 10 12 9 3 4 2 3 0.00863656672581517 pdam_00014102 sp|Q68F72|S15A4_XENLA 1.21e-93
ORTHOMCL160 6 21 17 4 3 1 6 1 0.000438026615201979 pdam_00014870 NA NA
ORTHOMCL18 9 25 198 12 6 5 4 4 3.04037690430448e-22 pdam_00015681 sp|Q8VYG9|PIRL9_ARATH 2.74e-30
ORTHOMCL3 75 155 246 90 20 8 54 1 5.45821459303059e-49 pdam_00016255 sp|Q96AY4|TTC28_HUMAN 0
ORTHOMCL22 61 46 18 42 21 17 17 7 3.07157692652619e-07 pdam_00017017 sp|Q7TN88|PK1L2_MOUSE 7.47e-81
ORTHOMCL34 14 22 31 24 4 6 22 10 0.00482872723655719 pdam_00017137 sp|A2RUV0|NOTC1_XENTR 0
ORTHOMCL72 16 12 30 26 5 3 1 1 6.66513398959895e-08 pdam_00019033 sp|Q69ZK6|JHD2C_MOUSE 8.7e-154
ORTHOMCL125 2 19 37 3 1 2 3 1 4.80830072814576e-06 pdam_00019619 NA NA
ORTHOMCL121 9 31 7 4 2 9 3 4 0.0052002591080574 pdam_00023481 NA NA
