aug_v2a.18355.t1      ORTHOMCL9
aug_v2a.04548.t1      ORTHOMCL15
aug_v2a.10500.t1      ORTHOMCL77
aug_v2a.04004.t2      ORTHOMCL80
aug_v2a.13437.t1      ORTHOMCL94
aug_v2a.00365.t1      ORTHOMCL298
aug_v2a.03173.t1      ORTHOMCL472
aug_v2a.06918.t1      ORTHOMCL502
aug_v2a.15481.t1      ORTHOMCL733
aug_v2a.20445.t2      ORTHOMCL2424
aug_v2a.02067.t1      ORTHOMCL3871
ofav_00010414-RA|ofav_00010414-RA|ofav_00010414-RA|ofav_00010414-RA|ofav_00010414-RA      ORTHOMCL2848
Spis11227      ORTHOMCL23
Spis18451      ORTHOMCL68
Spis7114      ORTHOMCL100
Spis17249      ORTHOMCL114
Spis3249      ORTHOMCL120
Spis2940      ORTHOMCL121
Spis2083      ORTHOMCL181
Spis19594      ORTHOMCL286
Spis23235      ORTHOMCL372
Spis332      ORTHOMCL517
Spis15792      ORTHOMCL606
Spis14598      ORTHOMCL706
Spis9925      ORTHOMCL707
Spis22308      ORTHOMCL851
Spis12138      ORTHOMCL1742
Spis10603      ORTHOMCL1901
