pdam_00016255      ORTHOMCL3
pdam_00015681      ORTHOMCL18
pdam_00017017      ORTHOMCL22
pdam_00013569      ORTHOMCL23
pdam_00007850      ORTHOMCL29
pdam_00013642      ORTHOMCL32
pdam_00017137      ORTHOMCL34
pdam_00003551      ORTHOMCL36
pdam_00013121      ORTHOMCL53
pdam_00012968      ORTHOMCL54
pdam_00019033      ORTHOMCL72
pdam_00011309      ORTHOMCL118
pdam_00023481      ORTHOMCL121
pdam_00019619      ORTHOMCL125
pdam_00011120      ORTHOMCL143
pdam_00007559      ORTHOMCL148
pdam_00012572      ORTHOMCL151
pdam_00014870      ORTHOMCL160
pdam_00000116      ORTHOMCL163
pdam_00014102      ORTHOMCL171
pdam_00002640      ORTHOMCL273
