# BUSCO version is: 2.0.1 
# The lineage dataset is: metazoa_odb9 (Creation date: 2016-02-13, number of species: 65, number of BUSCOs: 978)
# To reproduce this run: python /nethome/rcunning/local/busco/BUSCO.py -i ../data/filter/pdam.fasta -o pdam -l /nethome/rcunning/local/busco/metazoa_odb9/ -m genome -c 15 --long -sp fly
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG091G00AH	Complete	SczhEnG_4006	43333	60967	737.5	703
EOG091G00CM	Complete	SczhEnG_2927	117074	130397	556.4	354
EOG091G00GM	Complete	SczhEnG_1030	1149878	1170130	1340.6	976
EOG091G00GQ	Complete	SczhEnG_2824	272567	299028	1722.7	1290
EOG091G00L0	Complete	SczhEnG_1221	249590	264264	749.5	625
EOG091G00MA	Complete	SczhEnG_612	439625	463873	327.6	386
EOG091G00MI	Complete	SczhEnG_3058	602304	611315	378.9	467
EOG091G00Q0	Complete	SczhEnG_1721	208577	227602	1427.8	863
EOG091G00QT	Complete	SczhEnG_4356	344312	371976	654.5	624
EOG091G00UD	Complete	SczhEnG_174	28492	45612	930.0	595
EOG091G00VZ	Missing
EOG091G00Z3	Missing
EOG091G011X	Complete	SczhEnG_3433	714378	730992	1471.6	960
EOG091G017G	Complete	SczhEnG_3918	233820	246543	1592.7	855
EOG091G017T	Complete	SczhEnG_246	156475	177256	901.7	611
EOG091G019V	Complete	SczhEnG_2275	220765	238926	1314.7	820
EOG091G01EW	Complete	SczhEnG_229	68464	76076	1088.4	687
EOG091G01GC	Complete	SczhEnG_2740	174056	195840	1437.7	833
EOG091G01IW	Complete	SczhEnG_346	1143	9523	315.7	265
EOG091G01LC	Complete	SczhEnG_1030	1057372	1062512	486.7	393
EOG091G01MK	Complete	SczhEnG_3468	67428	91438	1124.1	929
EOG091G01S9	Complete	SczhEnG_3574	30026	37381	448.7	613
EOG091G01TH	Complete	SczhEnG_4006	379673	401394	1243.4	810
EOG091G01TX	Missing
EOG091G01VH	Complete	SczhEnG_1030	239158	259973	512.4	387
EOG091G01WY	Complete	SczhEnG_2307	570268	593216	543.6	469
EOG091G01XD	Complete	SczhEnG_1721	59456	78810	742.3	640
EOG091G01XI	Complete	SczhEnG_4072	100296	110510	318.2	252
EOG091G01XQ	Complete	SczhEnG_4113	123820	145021	1215.1	810
EOG091G01Z2	Complete	SczhEnG_4133	1	16074	453.9	487
EOG091G020E	Complete	SczhEnG_1221	409440	423870	1139.0	796
EOG091G020Y	Complete	SczhEnG_440	185698	199692	716.5	414
EOG091G023Z	Complete	SczhEnG_3795	7067	27895	852.6	630
EOG091G024J	Complete	SczhEnG_3537	148621	179832	1137.4	706
EOG091G025T	Missing
EOG091G0262	Complete	SczhEnG_2748	15250	28780	1179.1	674
EOG091G026F	Missing
EOG091G026I	Complete	SczhEnG_1879	53196	67950	312.9	331
EOG091G027G	Complete	SczhEnG_795	225897	242731	924.8	668
EOG091G028G	Complete	SczhEnG_3341	175724	195526	898.6	671
EOG091G0291	Complete	SczhEnG_647	336847	352188	251.8	175
EOG091G029K	Complete	SczhEnG_3253	405759	421314	719.1	627
EOG091G02B4	Complete	SczhEnG_3155	275035	291712	707.4	553
EOG091G02BK	Complete	SczhEnG_4046	272486	289617	1026.0	648
EOG091G02C8	Complete	SczhEnG_2893	104362	112352	168.5	211
EOG091G02E4	Complete	SczhEnG_1939	98375	103999	229.6	329
EOG091G02FR	Complete	SczhEnG_3967	122547	129064	115.9	245
EOG091G02HY	Complete	SczhEnG_2375	123173	139692	502.1	455
EOG091G02IP	Complete	SczhEnG_3918	246654	252309	880.9	632
EOG091G02LY	Complete	SczhEnG_2978	640512	653774	812.2	545
EOG091G02MR	Complete	SczhEnG_1463	135435	168965	987.9	742
EOG091G02NH	Complete	SczhEnG_828	1022478	1042334	1229.3	740
EOG091G02NO	Complete	SczhEnG_843	225383	236631	582.7	505
EOG091G02O5	Complete	SczhEnG_1469	18640	26699	253.2	173
EOG091G02O6	Complete	SczhEnG_3245	181466	189855	518.5	442
EOG091G02OE	Complete	SczhEnG_1415	1396791	1412097	290.3	461
EOG091G02P2	Complete	SczhEnG_2687	60702	74740	552.4	510
EOG091G02UC	Complete	SczhEnG_1766	198797	209655	428.9	388
EOG091G02V5	Complete	SczhEnG_2085	634234	644026	576.8	436
EOG091G02VO	Complete	SczhEnG_3253	13893	25335	648.8	416
EOG091G02WU	Complete	SczhEnG_310	151979	160765	571.7	491
EOG091G02ZI	Complete	SczhEnG_3132	120898	140516	372.5	202
EOG091G0307	Complete	SczhEnG_1809	71031	81838	384.2	458
EOG091G031X	Complete	SczhEnG_2046	31300	45529	276.4	169
EOG091G0321	Complete	SczhEnG_4012	139908	154709	703.3	573
EOG091G0349	Complete	SczhEnG_4068	622957	631586	551.0	545
EOG091G036A	Complete	SczhEnG_4359	22135	30199	298.7	547
EOG091G036C	Complete	SczhEnG_2586	58559	66894	420.6	341
EOG091G036T	Complete	SczhEnG_4033	147905	157271	546.5	592
EOG091G038T	Complete	SczhEnG_934	3519	17938	549.5	353
EOG091G038X	Complete	SczhEnG_1726	498904	509143	633.2	563
EOG091G03AN	Complete	SczhEnG_1249	48575	58430	529.4	506
EOG091G03B9	Complete	SczhEnG_3701	839551	876715	587.2	476
EOG091G03BV	Complete	SczhEnG_1030	524445	537571	524.6	312
EOG091G03C0	Complete	SczhEnG_2791	317980	335886	403.0	338
EOG091G03C7	Complete	SczhEnG_999	36748	43245	879.0	486
EOG091G03D7	Complete	SczhEnG_624	175583	192562	286.0	199
EOG091G03DT	Complete	SczhEnG_2844	725920	728761	566.8	399
EOG091G03FL	Complete	SczhEnG_1463	227708	235622	698.5	558
EOG091G03G3	Complete	SczhEnG_1421	41573	50797	222.4	253
EOG091G03H4	Complete	SczhEnG_1910	132941	144384	808.6	523
EOG091G03I1	Complete	SczhEnG_3323	192523	207189	632.5	467
EOG091G03JF	Complete	SczhEnG_3928	20973	34128	413.9	293
EOG091G03JG	Missing
EOG091G03JX	Complete	SczhEnG_1463	30403	38705	483.4	507
EOG091G03LI	Complete	SczhEnG_1239	12570	29074	629.5	502
EOG091G03M4	Complete	SczhEnG_1415	655254	668448	374.1	304
EOG091G03O0	Complete	SczhEnG_99	404218	415905	692.1	543
EOG091G03OT	Complete	SczhEnG_2712	232288	243734	981.4	567
EOG091G03P0	Complete	SczhEnG_789	55025	69573	626.3	542
EOG091G03PD	Complete	SczhEnG_3058	535550	546269	584.6	395
EOG091G03QC	Complete	SczhEnG_979	65686	77508	545.9	435
EOG091G03RW	Complete	SczhEnG_618	8203	22172	678.8	607
EOG091G03SE	Complete	SczhEnG_142	583020	592108	475.2	323
EOG091G03TX	Complete	SczhEnG_3366	31294	49291	805.5	592
EOG091G03TZ	Complete	SczhEnG_1910	186008	207156	413.6	415
EOG091G03X8	Complete	SczhEnG_1706	585838	599284	217.9	320
EOG091G03XO	Complete	SczhEnG_1067	160855	175996	206.1	205
EOG091G03XS	Complete	SczhEnG_142	1063473	1072091	335.7	349
EOG091G03Y8	Complete	SczhEnG_2066	420502	431674	536.4	344
EOG091G03Z1	Complete	SczhEnG_151	1829	12008	210.6	289
EOG091G03ZS	Complete	SczhEnG_1706	241801	251098	965.8	468
EOG091G040D	Complete	SczhEnG_254	1277799	1286763	434.7	484
EOG091G040G	Fragmented	SczhEnG_1564	358879	364800	414.9	258
EOG091G040L	Complete	SczhEnG_65	94181	104123	570.5	353
EOG091G046H	Complete	SczhEnG_3307	117702	137260	836.9	601
EOG091G046Y	Complete	SczhEnG_3058	635997	648171	704.8	471
EOG091G048B	Duplicated	SczhEnG_3777	30274	37318	269.3	231
